model,outcome,event,horizon,n,hac_lag,beta,hac_se,hac_p,hac_95_low,hac_95_high
single,lbrent,diplomatic_tension,24,413,24,-0.310085783365,0.0817599113088,0.000149055097024,-0.470332264909,-0.14983930182
single,lbrent,diplomatic_tension,24,413,48,-0.310085783365,0.0855245935322,0.000288189348134,-0.47771090648,-0.142460660249
single,lbrent,diplomatic_tension,48,389,4,-0.255541586757,0.0940806504525,0.00660365978436,-0.439936273286,-0.0711469002277
single,lbrent,diplomatic_tension,48,389,12,-0.255541586757,0.101802404189,0.0120672226872,-0.455070632506,-0.0560125410071
single,lbrent,diplomatic_tension,48,389,24,-0.255541586757,0.106926619511,0.0168539655339,-0.465113909986,-0.0459692635268
single,lbrent,diplomatic_tension,48,389,48,-0.255541586757,0.124801792958,0.0406012245001,-0.50014860616,-0.0109345673536
single,lbrent,nuclear_threat,0,432,4,0.0254156575625,0.0143284522986,0.0760979833786,-0.00266759289697,0.053498908022
single,lbrent,nuclear_threat,0,432,12,0.0254156575625,0.0139776650631,0.0690175367816,-0.00198006254916,0.0528113776742
single,lbrent,nuclear_threat,0,432,24,0.0254156575625,0.0130577250553,0.0516057764726,-0.000177013265926,0.0510083283909
single,lbrent,nuclear_threat,0,432,48,0.0254156575625,0.0134070207078,0.0580000371081,-0.000861620164831,0.0516929352899
single,lbrent,nuclear_threat,12,425,4,0.0902733398645,0.0373099985735,0.0155398011461,0.0171470863971,0.163399593332
single,lbrent,nuclear_threat,12,425,12,0.0902733398645,0.0396339138617,0.0227456999208,0.0125922961292,0.1679543836
single,lbrent,nuclear_threat,12,425,24,0.0902733398645,0.0368331573776,0.0142510773469,0.0180816779675,0.162465001761
single,lbrent,nuclear_threat,12,425,48,0.0902733398645,0.0325443581565,0.00553963145722,0.0264875699778,0.154059109751
single,lbrent,nuclear_threat,24,413,4,0.09960244231,0.0421035475863,0.017998237071,0.0170810054195,0.182123879201
single,lbrent,nuclear_threat,24,413,12,0.09960244231,0.0470883157738,0.0344106673831,0.00731103930069,0.191893845319
single,lbrent,nuclear_threat,24,413,24,0.09960244231,0.0453850852191,0.0281917747395,0.0106493098454,0.188555574775
single,lbrent,nuclear_threat,24,413,48,0.09960244231,0.0467830924332,0.0332520701639,0.00790926605561,0.191295618564
single,lbrent,nuclear_threat,48,389,4,0.0155253221949,0.0402599976176,0.69977330018,-0.0633828231533,0.0944334675431
single,lbrent,nuclear_threat,48,389,12,0.0155253221949,0.0408776065887,0.70409375136,-0.0645933144932,0.095643958883
single,lbrent,nuclear_threat,48,389,24,0.0155253221949,0.0407802271054,0.703420596319,-0.0644024542131,0.0954530986029
single,lbrent,nuclear_threat,48,389,48,0.0155253221949,0.0388206298809,0.68921210364,-0.0605617142289,0.0916123586187
joint,lbrent,military_conflict,0,432,4,0.070558614569,0.0265486411347,0.00786733341055,0.0185242341066,0.122592995031
joint,lbrent,diplomatic_tension,0,432,4,0.0290470461555,0.0347044171193,0.402601492093,-0.0389723615029,0.0970664538139
joint,lbrent,nuclear_threat,0,432,4,0.0361664492642,0.0148362979675,0.0147810194139,0.00708783958399,0.0652450589444
joint,lbrent,military_conflict,0,432,12,0.070558614569,0.0241057210342,0.00342195514124,0.0233122695206,0.117804959617
joint,lbrent,diplomatic_tension,0,432,12,0.0290470461555,0.029178354148,0.31949323422,-0.0281414771027,0.0862355694137
joint,lbrent,nuclear_threat,0,432,12,0.0361664492642,0.0146671192269,0.0136700703736,0.00741942382254,0.0649134747059
joint,lbrent,military_conflict,0,432,24,0.070558614569,0.0220066429326,0.00134481014707,0.0274263870005,0.113690842137
joint,lbrent,diplomatic_tension,0,432,24,0.0290470461555,0.027366318703,0.288500928211,-0.0245899528917,0.0826840452027
joint,lbrent,nuclear_threat,0,432,24,0.0361664492642,0.0138325544003,0.00893347939023,0.00905514082537,0.063277757703
joint,lbrent,military_conflict,0,432,48,0.070558614569,0.0207430909487,0.000670054190539,0.0299029033814,0.111214325757
joint,lbrent,diplomatic_tension,0,432,48,0.0290470461555,0.0297631098074,0.329093586178,-0.0292875771349,0.0873816694459
joint,lbrent,nuclear_threat,0,432,48,0.0361664492642,0.0140445592779,0.0100204823947,0.00863961890069,0.0636932796277
joint,lbrent,military_conflict,12,425,4,-0.0150964447991,0.0357869291459,0.673140040493,-0.0852375370424,0.0550446474442
joint,lbrent,diplomatic_tension,12,425,4,-0.175138585886,0.0730786893217,0.0165490902135,-0.318370184994,-0.0319069867781
joint,lbrent,nuclear_threat,12,425,4,0.0993731534968,0.0361537966223,0.00598461934555,0.0285130142128,0.170233292781
joint,lbrent,military_conflict,12,425,12,-0.0150964447991,0.0375897727967,0.687970753028,-0.0887710456676,0.0585781560695
joint,lbrent,diplomatic_tension,12,425,12,-0.175138585886,0.07113529419,0.0138145759603,-0.314561200528,-0.0357159712439
joint,lbrent,nuclear_threat,12,425,12,0.0993731534968,0.0365059113213,0.00648662930648,0.0278228820842,0.170923424909
joint,lbrent,military_conflict,12,425,24,-0.0150964447991,0.040272273032,0.707764948381,-0.0940286495174,0.0638357599193
joint,lbrent,diplomatic_tension,12,425,24,-0.175138585886,0.0712438720148,0.013959773293,-0.314774009154,-0.0355031626177
joint,lbrent,nuclear_threat,12,425,24,0.0993731534968,0.0328464263065,0.00248315114836,0.0349953409152,0.163750966078
joint,lbrent,military_conflict,12,425,48,-0.0150964447991,0.0443483155007,0.733550595206,-0.102017545955,0.0718246563573
joint,lbrent,diplomatic_tension,12,425,48,-0.175138585886,0.0670046549285,0.00895343215048,-0.306465296342,-0.0438118754296
