model,outcome,horizon,n,event,partial_r2,excluded_instrument_wald_F_hc3,excluded_instrument_wald_chi2_hc3,relevance_p_value_hc3,excluded_instrument_wald_chi2,excluded_instrument_wald_F,excluded_instrument_df,relevance_p_value,diagnostic_type
single,lwti,4,432,coup,0.35297534999,7.66219699855,7.66219699855,0.00563897966672,14.913213408,14.913213408,1,0.000112571745955,single-instrument relevance
single,lwti,5,432,coup,0.35297534999,7.66219699855,7.66219699855,0.00563897966672,14.913213408,14.913213408,1,0.000112571745955,single-instrument relevance
single,lwti,6,431,coup,0.357973093561,7.38326810316,7.38326810316,0.00658334332655,14.5285319565,14.5285319565,1,0.000138052780458,single-instrument relevance
single,lwti,7,430,coup,0.363826118867,6.11136260287,6.11136260287,0.0134315538962,12.8749433732,12.8749433732,1,0.00033301080203,single-instrument relevance
single,lwti,8,429,coup,0.343398509661,5.37012429161,5.37012429161,0.0204845178431,11.7627786322,11.7627786322,1,0.000604269530989,single-instrument relevance
single,lwti,9,428,coup,0.343242910875,5.36781225385,5.36781225385,0.0205116886764,11.7573253268,11.7573253268,1,0.000606042505871,single-instrument relevance
single,lwti,10,427,coup,0.343281464378,5.36781532476,5.36781532476,0.0205116525626,11.7574734608,11.7574734608,1,0.000605994275317,single-instrument relevance
single,lwti,11,426,coup,0.343170959642,5.36767347979,5.36767347979,0.0205133207207,11.756162795,11.756162795,1,0.000606421146194,single-instrument relevance
single,lwti,12,425,coup,0.34041424404,5.29287978317,5.29287978317,0.0214127826797,11.6163136389,11.6163136389,1,0.000653758472127,single-instrument relevance
single,lwti,13,424,coup,0.341121657547,5.30499069962,5.30499069962,0.0212644131962,11.639155186,11.639155186,1,0.000645779252783,single-instrument relevance
single,lwti,14,423,coup,0.340926697923,5.28817984637,5.28817984637,0.0214706493772,11.6059692584,11.6059692584,1,0.000657404754858,single-instrument relevance
single,lwti,15,422,coup,0.340319444849,5.28857944626,5.28857944626,0.0214657231202,11.6044908589,11.6044908589,1,0.000657927549757,single-instrument relevance
single,lwti,16,421,coup,0.341482682077,5.30346291365,5.30346291365,0.0212830711211,11.6425462644,11.6425462644,1,0.000644603064147,single-instrument relevance
single,lwti,17,420,coup,0.341562589066,5.30618176271,5.30618176271,0.0212498792101,11.6511274424,11.6511274424,1,0.000641636355558,single-instrument relevance
single,lwti,18,419,coup,0.34155942071,5.30594213935,5.30594213935,0.0212528023954,11.6502231143,11.6502231143,1,0.000641948351211,single-instrument relevance
single,lwti,19,418,coup,0.343744743279,5.18752765354,5.18752765354,0.0227495578775,11.4723271931,11.4723271931,1,0.000706401675539,single-instrument relevance
single,lwti,20,417,coup,0.348571966381,4.52588175462,4.52588175462,0.0333858671941,10.5531157355,10.5531157355,1,0.00115992396472,single-instrument relevance
single,lwti,21,416,coup,0.329685826753,4.02411029984,4.02411029984,0.0448542721717,9.69105437503,9.69105437503,1,0.0018516725774,single-instrument relevance
single,lwti,22,415,coup,0.330302074473,4.04041854742,4.04041854742,0.0444228029839,9.73377449681,9.73377449681,1,0.00180912594745,single-instrument relevance
single,lwti,23,414,coup,0.329907282431,4.03475069668,4.03475069668,0.0445722604225,9.71923510161,9.71923510161,1,0.00182349392057,single-instrument relevance
single,lwti,24,413,coup,0.331097809222,4.05908574674,4.05908574674,0.0439342798366,9.78253679652,9.78253679652,1,0.00176177081022,single-instrument relevance
single,lwti,25,412,coup,0.330881318063,4.05219941556,4.05219941556,0.0441138345856,9.77756472142,9.77756472142,1,0.00176654133647,single-instrument relevance
single,lwti,26,411,coup,0.330708135631,4.0515495823,4.0515495823,0.0441308182205,9.77545326102,9.77545326102,1,0.00176857116418,single-instrument relevance
single,lwti,27,410,coup,0.331078896987,4.05428949893,4.05428949893,0.0440592561029,9.78272134459,9.78272134459,1,0.0017615939945,single-instrument relevance
single,lwti,28,409,coup,0.331210304384,4.05639943236,4.05639943236,0.044004231348,9.78690503681,9.78690503681,1,0.0017575904152,single-instrument relevance
single,lwti,29,408,coup,0.33173753193,4.06208313408,4.06208313408,0.0438563661019,9.8018885593,9.8018885593,1,0.00174332743905,single-instrument relevance
single,lwti,30,407,coup,0.33273403629,4.08303102098,4.08303102098,0.0433158912608,9.85373070916,9.85373070916,1,0.00169487697235,single-instrument relevance
single,lwti,31,406,coup,0.332952634002,4.08207287364,4.08207287364,0.043340458798,9.8524118391,9.8524118391,1,0.00169609248373,single-instrument relevance
single,lwti,32,405,coup,0.332941425657,4.08269332244,4.08269332244,0.0433245484048,9.85373412366,9.85373412366,1,0.00169487382658,single-instrument relevance
single,lwti,33,404,coup,0.33286029852,4.08015581735,4.08015581735,0.0433896574107,9.84756617529,9.84756617529,1,0.00170056598606,single-instrument relevance
single,lwti,34,403,coup,0.332788969697,4.07904347525,4.07904347525,0.0434182310704,9.84460312345,9.84460312345,1,0.00170330735486,single-instrument relevance
single,lwti,35,402,coup,0.333481501198,4.05777697667,4.05777697667,0.043968345524,9.80418388293,9.80418388293,1,0.00174115287877,single-instrument relevance
single,lwti,36,401,coup,0.333731679147,3.95540149058,3.95540149058,0.0467211716244,9.66191017687,9.66191017687,1,0.00188127905603,single-instrument relevance
single,lwti,37,400,coup,0.328770737832,3.84974968421,3.84974968421,0.0497534155309,9.4583551003,9.4583551003,1,0.00210189475389,single-instrument relevance
single,lwti,38,399,coup,0.330904711536,3.7678235121,3.7678235121,0.0522475765951,9.31149637082,9.31149637082,1,0.00227720421784,single-instrument relevance
single,lwti,39,398,coup,0.321152618132,3.58549124916,3.58549124916,0.0582861811232,9.01320638208,9.01320638208,1,0.00268035789356,single-instrument relevance
single,lwti,40,397,coup,0.321467247901,3.58577316589,3.58577316589,0.0582762924529,9.01543462981,9.01543462981,1,0.00267709222398,single-instrument relevance
single,lwti,41,396,coup,0.321957162778,3.59485454374,3.59485454374,0.0579587004748,9.03714054578,9.03714054578,1,0.00264549107768,single-instrument relevance
single,lwti,42,395,coup,0.321742883177,3.58617164486,3.58617164486,0.0582623182195,9.01485580597,9.01485580597,1,0.00267794014656,single-instrument relevance
single,lwti,43,394,coup,0.321716959008,3.58615654348,3.58615654348,0.0582628477438,9.01443297507,9.01443297507,1,0.00267855972647,single-instrument relevance
single,lwti,44,393,coup,0.321349349637,3.58532671427,3.58532671427,0.058291953266,9.01049655335,9.01049655335,1,0.00268433480808,single-instrument relevance
single,lwti,45,392,coup,0.322006358961,3.59260212525,3.59260212525,0.05803729972,9.03601002952,9.03601002952,1,0.00264712758352,single-instrument relevance
single,lwti,46,391,coup,0.322164438284,3.59310967582,3.59310967582,0.0580195786174,9.03715075231,9.03715075231,1,0.00264547630766,single-instrument relevance
single,lwti,47,390,coup,0.322026925712,3.59053952344,3.59053952344,0.0581093745428,9.0315127079,9.0315127079,1,0.00265364797189,single-instrument relevance
single,lwti,48,389,coup,0.32210899927,3.59287361533,3.59287361533,0.0580278199425,9.03752204045,9.03752204045,1,0.00264493906776,single-instrument relevance
single,lwti,0,432,sanctions,0.214400241865,3.42902267273,3.42902267273,0.064060000047,8.10267976243,8.10267976243,1,0.0044199863605,single-instrument relevance
single,lwti,1,432,sanctions,0.214400241865,3.42902267273,3.42902267273,0.064060000047,8.10267976243,8.10267976243,1,0.0044199863605,single-instrument relevance
single,lwti,2,432,sanctions,0.214400241865,3.42902267273,3.42902267273,0.064060000047,8.10267976243,8.10267976243,1,0.0044199863605,single-instrument relevance
single,lwti,3,432,sanctions,0.214400241865,3.42902267273,3.42902267273,0.064060000047,8.10267976243,8.10267976243,1,0.0044199863605,single-instrument relevance
single,lwti,4,432,sanctions,0.214400241865,3.42902267273,3.42902267273,0.064060000047,8.10267976243,8.10267976243,1,0.0044199863605,single-instrument relevance
single,lwti,5,432,sanctions,0.214400241865,3.42902267273,3.42902267273,0.064060000047,8.10267976243,8.10267976243,1,0.0044199863605,single-instrument relevance
single,lwti,6,431,sanctions,0.214170426903,3.4227307534,3.4227307534,0.0643045614967,8.0877220718,8.0877220718,1,0.00445661422179,single-instrument relevance
single,lwti,7,430,sanctions,0.213566699485,3.36759646512,3.36759646512,0.0664906941241,8.03046144826,8.03046144826,1,0.00459971195264,single-instrument relevance
single,lwti,8,429,sanctions,0.212825649193,3.34384412575,3.34384412575,0.0674568404974,7.97303071625,7.97303071625,1,0.00474793792218,single-instrument relevance
single,lwti,9,428,sanctions,0.212452893181,3.30370261393,3.30370261393,0.0691239093125,7.89442479981,7.89442479981,1,0.00495874048778,single-instrument relevance
single,lwti,10,427,sanctions,0.209059699683,3.04615714782,3.04615714782,0.0809284226328,7.55859599039,7.55859599039,1,0.00597245033058,single-instrument relevance
single,lwti,11,426,sanctions,0.205245953035,2.93759785398,2.93759785398,0.0865393423129,7.34316095181,7.34316095181,1,0.00673183636468,single-instrument relevance
single,lwti,12,425,sanctions,0.203994835319,2.86032443312,2.86032443312,0.0907891853138,7.26721703675,7.26721703675,1,0.00702245294376,single-instrument relevance
single,lwti,13,424,sanctions,0.204744929732,2.80484352331,2.80484352331,0.0939800134393,7.16450088344,7.16450088344,1,0.00743603780932,single-instrument relevance
single,lwti,14,423,sanctions,0.202750369374,2.71458071406,2.71458071406,0.0994350948818,6.98747930444,6.98747930444,1,0.00820818706446,single-instrument relevance
single,lwti,15,422,sanctions,0.23113379381,2.57492723354,2.57492723354,0.108569094055,7.10224943184,7.10224943184,1,0.00769872733839,single-instrument relevance
single,lwti,16,421,sanctions,0.354843021394,6.30030275914,6.30030275914,0.0120717353253,13.1176252904,13.1176252904,1,0.000292530595375,single-instrument relevance
single,lwti,17,420,sanctions,0.345161307851,4.48469081255,4.48469081255,0.0341997321066,10.4014845641,10.4014845641,1,0.00125914042927,single-instrument relevance
single,lwti,18,419,sanctions,0.341242251573,4.41695278226,4.41695278226,0.0355835281416,10.2581857842,10.2581857842,1,0.00136079435239,single-instrument relevance
single,lwti,19,418,sanctions,0.339535749228,4.3689517547,4.3689517547,0.0365995000099,10.149428517,10.149428517,1,0.00144345983366,single-instrument relevance
single,lwti,20,417,sanctions,0.334687486141,4.26534637626,4.26534637626,0.0388973184398,9.95630839629,9.95630839629,1,0.00160299161695,single-instrument relevance
single,lwti,21,416,sanctions,0.333729254172,4.24860215876,4.24860215876,0.0392826514961,9.91712894696,9.91712894696,1,0.00163747615445,single-instrument relevance
single,lwti,22,415,sanctions,0.333645297541,4.24391150917,4.24391150917,0.039391313356,9.90974052654,9.90974052654,1,0.00164406296076,single-instrument relevance
single,lwti,23,414,sanctions,0.332560980869,4.19103182561,4.19103182561,0.0406383559073,9.84118640801,9.84118640801,1,0.00170647400496,single-instrument relevance
single,lwti,24,413,sanctions,0.329284433738,4.12782453149,4.12782453149,0.0421835462847,9.72970629425,9.72970629425,1,0.00181313458595,single-instrument relevance
single,lwti,25,412,sanctions,0.329370963566,4.12710098101,4.12710098101,0.0422015876823,9.72791647346,9.72791647346,1,0.00181490105158,single-instrument relevance
single,lwti,26,411,sanctions,0.329042626254,4.1198530301,4.1198530301,0.0423827601751,9.71413630638,9.71413630638,1,0.00182855994421,single-instrument relevance
single,lwti,27,410,sanctions,0.328632780242,4.10366302195,4.10366302195,0.0427904110898,9.69510968669,9.69510968669,1,0.00184759053576,single-instrument relevance
single,lwti,28,409,sanctions,0.327658625401,4.08620167533,4.08620167533,0.0432346979528,9.65684939847,9.65684939847,1,0.00188646879171,single-instrument relevance
single,lwti,29,408,sanctions,0.327849882798,4.09229387089,4.09229387089,0.0430791395065,9.68034484136,9.68034484136,1,0.00186249670305,single-instrument relevance
single,lwti,30,407,sanctions,0.327660426866,4.06518651704,4.06518651704,0.0437758503076,9.64715022599,9.64715022599,1,0.00189645570994,single-instrument relevance
single,lwti,31,406,sanctions,0.325767514892,4.03073692818,4.03073692818,0.0446784209333,9.58401778424,9.58401778424,1,0.00196278412941,single-instrument relevance
single,lwti,32,405,sanctions,0.326197820283,4.04029855495,4.04029855495,0.044425961633,9.60928650176,9.60928650176,1,0.00193595846797,single-instrument relevance
single,lwti,33,404,sanctions,0.327872455243,4.06413743375,4.06413743375,0.043803050858,9.66978357719,9.66978357719,1,0.00187323378257,single-instrument relevance
single,lwti,34,403,sanctions,0.32806852576,4.07169774655,4.07169774655,0.0436074246175,9.71591314282,9.71591314282,1,0.00182679291078,single-instrument relevance
single,lwti,35,402,sanctions,0.328131219243,4.06581547373,4.06581547373,0.0437595512889,9.70127520257,9.70127520257,1,0.00184140184804,single-instrument relevance
single,lwti,36,401,sanctions,0.328031308072,4.06592344769,4.06592344769,0.0437567538537,9.7145073233,9.7145073233,1,0.0018281908312,single-instrument relevance
single,lwti,37,400,sanctions,0.327306633355,4.05194217894,4.05194217894,0.0441205567381,9.68101618391,9.68101618391,1,0.00186181629689,single-instrument relevance
single,lwti,38,399,sanctions,0.327330512139,4.05268483951,4.05268483951,0.0441011523379,9.68169809546,9.68169809546,1,0.00186112543696,single-instrument relevance
single,lwti,39,398,sanctions,0.326780519374,4.04206334525,4.04206334525,0.0443795295941,9.65557054381,9.65557054381,1,0.0018877825291,single-instrument relevance
single,lwti,40,397,sanctions,0.32676049566,4.04342736331,4.04342736331,0.044343676965,9.67755003392,9.67755003392,1,0.00186533195203,single-instrument relevance
single,lwti,41,396,sanctions,0.326725636474,4.04234918829,4.04234918829,0.0443720138061,9.6745828571,9.6745828571,1,0.00186834685257,single-instrument relevance
single,lwti,42,395,sanctions,0.32651446617,4.03735726495,4.03735726495,0.0445034613232,9.67695788183,9.67695788183,1,0.00186593323412,single-instrument relevance
single,lwti,43,394,sanctions,0.326378999107,4.03465086489,4.03465086489,0.0445748976591,9.67214650037,9.67214650037,1,0.00187082608786,single-instrument relevance
single,lwti,44,393,sanctions,0.326090490399,4.02765532416,4.02765532416,0.0447601071803,9.6725288568,9.6725288568,1,0.00187043678168,single-instrument relevance
single,lwti,45,392,sanctions,0.32565552168,4.01975844671,4.01975844671,0.0449701539091,9.65492770127,9.65492770127,1,0.00188844325636,single-instrument relevance
single,lwti,46,391,sanctions,0.326024369423,4.03127793156,4.03127793156,0.0446640963794,9.70061421447,9.70061421447,1,0.00184206431361,single-instrument relevance
single,lwti,47,390,sanctions,0.326543291535,3.95958718493,3.95958718493,0.0466051313935,9.59776146527,9.59776146527,1,0.00194814721521,single-instrument relevance
single,lwti,48,389,sanctions,0.323074461511,3.89067022946,3.89067022946,0.0485550431041,9.46790632408,9.46790632408,1,0.00209097885622,single-instrument relevance
single,lwti,0,432,other,0.766240381391,371.937361672,371.937361672,7.08554655795e-83,413.82872128,413.82872128,1,5.37924723747e-92,single-instrument relevance
single,lwti,1,432,other,0.766240381391,371.937361672,371.937361672,7.08554655795e-83,413.82872128,413.82872128,1,5.37924723747e-92,single-instrument relevance
single,lwti,2,432,other,0.766240381391,371.937361672,371.937361672,7.08554655795e-83,413.82872128,413.82872128,1,5.37924723747e-92,single-instrument relevance
single,lwti,3,432,other,0.766240381391,371.937361672,371.937361672,7.08554655795e-83,413.82872128,413.82872128,1,5.37924723747e-92,single-instrument relevance
single,lwti,4,432,other,0.766240381391,371.937361672,371.937361672,7.08554655795e-83,413.82872128,413.82872128,1,5.37924723747e-92,single-instrument relevance
single,lwti,5,432,other,0.766240381391,371.937361672,371.937361672,7.08554655795e-83,413.82872128,413.82872128,1,5.37924723747e-92,single-instrument relevance
single,lwti,6,431,other,0.763725215796,366.69975029,366.69975029,9.78969939235e-82,408.304780361,408.304780361,1,8.5730249776e-91,single-instrument relevance
single,lwti,7,430,other,0.764014525752,362.690968412,362.690968412,7.30532098339e-81,404.189931086,404.189931086,1,6.74296717491e-90,single-instrument relevance
single,lwti,8,429,other,0.76353295954,362.17257903,362.17257903,9.47359956469e-81,403.611747175,403.611747175,1,9.00972244379e-90,single-instrument relevance
single,lwti,9,428,other,0.764249336512,360.746167314,360.746167314,1.93690640535e-80,402.107560513,402.107560513,1,1.91490925972e-89,single-instrument relevance
single,lwti,10,427,other,0.765488150776,345.714984864,345.714984864,3.63311024496e-77,386.870423578,386.870423578,1,3.97371568659e-86,single-instrument relevance
single,lwti,11,426,other,0.763560423781,333.952481665,333.952481665,1.32417946315e-74,374.298945084,374.298945084,1,2.16867715987e-83,single-instrument relevance
single,lwti,12,425,other,0.763438969192,332.512644965,332.512644965,2.72606446204e-74,372.835294627,372.835294627,1,4.51719523379e-83,single-instrument relevance
single,lwti,13,424,other,0.764433218089,320.894967402,320.894967402,9.24610459478e-72,361.038385433,361.038385433,1,1.67293632739e-80,single-instrument relevance
single,lwti,14,423,other,0.76362049241,315.848536298,315.848536298,1.16197857366e-70,355.57134984,355.57134984,1,2.59373841194e-79,single-instrument relevance
single,lwti,15,422,other,0.763943598147,313.858359313,313.858359313,3.15299703225e-70,353.51232034,353.51232034,1,7.2827069772e-79,single-instrument relevance
single,lwti,16,421,other,0.763518772748,311.9373658,311.9373658,8.26393256676e-70,351.371769654,351.371769654,1,2.13019311083e-78,single-instrument relevance
single,lwti,17,420,other,0.763038780434,309.967863753,309.967863753,2.21934775397e-69,349.277632821,349.277632821,1,6.0875949746e-78,single-instrument relevance
single,lwti,18,419,other,0.763035559714,309.86284111,309.86284111,2.33939659562e-69,349.190307629,349.190307629,1,6.36007394279e-78,single-instrument relevance
single,lwti,19,418,other,0.763164010842,308.965283528,308.965283528,3.66971136201e-69,348.322236576,348.322236576,1,9.82876232267e-78,single-instrument relevance
single,lwti,20,417,other,0.762837590163,308.616616891,308.616616891,4.37106767435e-69,347.928859683,347.928859683,1,1.19719122135e-77,single-instrument relevance
single,lwti,21,416,other,0.762814007185,308.677852115,308.677852115,4.23884624103e-69,348.053682496,348.053682496,1,1.12455615224e-77,single-instrument relevance
single,lwti,22,415,other,0.762774340082,307.347390843,307.347390843,8.26200842385e-69,346.721041542,346.721041542,1,2.19375811843e-77,single-instrument relevance
single,lwti,23,414,other,0.761744885106,302.839918971,302.839918971,7.92607584177e-68,341.993006397,341.993006397,1,2.34872918384e-76,single-instrument relevance
single,lwti,24,413,other,0.762242593653,302.475285632,302.475285632,9.51693841991e-68,341.58799482,341.58799482,1,2.8776364083e-76,single-instrument relevance
single,lwti,25,412,other,0.762423487497,295.569802833,295.569802833,3.04078500926e-66,334.383545928,334.383545928,1,1.06675324561e-74,single-instrument relevance
single,lwti,26,411,other,0.761851523061,293.32525952,293.32525952,9.37618882874e-66,331.913604886,331.913604886,1,3.68133427845e-74,single-instrument relevance
single,lwti,27,410,other,0.762076124127,291.6528848,291.6528848,2.16975724272e-65,330.215254107,330.215254107,1,8.62789342273e-74,single-instrument relevance
single,lwti,28,409,other,0.761897160833,291.472588189,291.472588189,2.3751740093e-65,330.012737543,330.012737543,1,9.55021401812e-74,single-instrument relevance
single,lwti,29,408,other,0.761993317283,291.390503356,291.390503356,2.47503119045e-65,329.977792982,329.977792982,1,9.71905582082e-74,single-instrument relevance
single,lwti,30,407,other,0.763369378196,287.347592824,287.347592824,1.88148535652e-64,325.770902212,325.770902212,1,8.01508751892e-73,single-instrument relevance
single,lwti,31,406,other,0.762097024202,281.484729395,281.484729395,3.56492897633e-63,319.330746659,319.330746659,1,2.0261872453e-71,single-instrument relevance
single,lwti,32,405,other,0.761679347158,277.516460054,277.516460054,2.61102475581e-62,315.186239491,315.186239491,1,1.61982094297e-70,single-instrument relevance
single,lwti,33,404,other,0.761392638422,277.187392186,277.187392186,3.07980330875e-62,314.800198157,314.800198157,1,1.96589031212e-70,single-instrument relevance
single,lwti,34,403,other,0.762002728042,276.91267891,276.91267891,3.53500473572e-62,314.494696384,314.494696384,1,2.29143565232e-70,single-instrument relevance
single,lwti,35,402,other,0.761024031833,273.02337692,273.02337692,2.48880433076e-61,310.372705513,310.372705513,1,1.81147965094e-69,single-instrument relevance
single,lwti,36,401,other,0.763022906003,268.654829391,268.654829391,2.22887640556e-60,305.884964723,305.884964723,1,1.72058638621e-68,single-instrument relevance
single,lwti,37,400,other,0.761461156118,265.56538346,265.56538346,1.05061543602e-59,302.396198048,302.396198048,1,9.90210038706e-68,single-instrument relevance
single,lwti,38,399,other,0.761565196187,265.250979046,265.250979046,1.23018707498e-59,302.065885845,302.065885845,1,1.16866351617e-67,single-instrument relevance
single,lwti,39,398,other,0.761413057371,263.692822176,263.692822176,2.68899795454e-59,300.479432211,300.479432211,1,2.59011777932e-67,single-instrument relevance
single,lwti,40,397,other,0.761621928294,263.005671932,263.005671932,3.79634458108e-59,299.829554791,299.829554791,1,3.58843988391e-67,single-instrument relevance
single,lwti,41,396,other,0.761837540062,262.411316743,262.411316743,5.11582665678e-59,299.183652816,299.183652816,1,4.96165679792e-67,single-instrument relevance
single,lwti,42,395,other,0.763076760143,256.828847716,256.828847716,8.42883682298e-58,293.416789546,293.416789546,1,8.95537049952e-66,single-instrument relevance
single,lwti,43,394,other,0.763118494572,250.393009762,250.393009762,2.13186780978e-56,286.625010977,286.625010977,1,2.70365013284e-64,single-instrument relevance
single,lwti,44,393,other,0.763054778376,243.437245069,243.437245069,7.00252048287e-55,279.38792975,279.38792975,1,1.02088626655e-62,single-instrument relevance
single,lwti,45,392,other,0.763881100491,242.810957899,242.810957899,9.58971676675e-55,278.758586771,278.758586771,1,1.39998601558e-62,single-instrument relevance
single,lwti,46,391,other,0.766526266621,235.314888389,235.314888389,4.13342641054e-53,271.059768747,271.059768747,1,6.66712993821e-61,single-instrument relevance
single,lwti,47,390,other,0.76532172122,234.776741137,234.776741137,5.41577266411e-53,270.440903699,270.440903699,1,9.0952889094e-61,single-instrument relevance
single,lwti,48,389,other,0.766625218085,233.04069117,233.04069117,1.29490243238e-52,268.704504699,268.704504699,1,2.17399868309e-60,single-instrument relevance
joint,lwti,0,432,military_conflict,0.395125210147,34.7592510723,104.277753217,1.8685983382e-22,119.730560705,39.9101869015,3,8.81991772951e-26,joint excluded-instrument relevance; not conditional strength
joint,lwti,0,432,diplomatic_tension,0.764824533949,136.761328438,410.283985313,1.31069488787e-88,460.37338104,153.45779368,3,1.84342707407e-99,joint excluded-instrument relevance; not conditional strength
joint,lwti,0,432,nuclear_threat,0.546791035905,42.830856851,128.492570553,1.14264996697e-27,145.935494351,48.6451647838,3,1.98370234505e-31,joint excluded-instrument relevance; not conditional strength
joint,lwti,1,432,military_conflict,0.395125210147,34.7592510723,104.277753217,1.8685983382e-22,119.730560705,39.9101869015,3,8.81991772951e-26,joint excluded-instrument relevance; not conditional strength
joint,lwti,1,432,diplomatic_tension,0.764824533949,136.761328438,410.283985313,1.31069488787e-88,460.37338104,153.45779368,3,1.84342707407e-99,joint excluded-instrument relevance; not conditional strength
joint,lwti,1,432,nuclear_threat,0.546791035905,42.830856851,128.492570553,1.14264996697e-27,145.935494351,48.6451647838,3,1.98370234505e-31,joint excluded-instrument relevance; not conditional strength
joint,lwti,2,432,military_conflict,0.395125210147,34.7592510723,104.277753217,1.8685983382e-22,119.730560705,39.9101869015,3,8.81991772951e-26,joint excluded-instrument relevance; not conditional strength
joint,lwti,2,432,diplomatic_tension,0.764824533949,136.761328438,410.283985313,1.31069488787e-88,460.37338104,153.45779368,3,1.84342707407e-99,joint excluded-instrument relevance; not conditional strength
joint,lwti,2,432,nuclear_threat,0.546791035905,42.830856851,128.492570553,1.14264996697e-27,145.935494351,48.6451647838,3,1.98370234505e-31,joint excluded-instrument relevance; not conditional strength
joint,lwti,3,432,military_conflict,0.395125210147,34.7592510723,104.277753217,1.8685983382e-22,119.730560705,39.9101869015,3,8.81991772951e-26,joint excluded-instrument relevance; not conditional strength
joint,lwti,3,432,diplomatic_tension,0.764824533949,136.761328438,410.283985313,1.31069488787e-88,460.37338104,153.45779368,3,1.84342707407e-99,joint excluded-instrument relevance; not conditional strength
joint,lwti,3,432,nuclear_threat,0.546791035905,42.830856851,128.492570553,1.14264996697e-27,145.935494351,48.6451647838,3,1.98370234505e-31,joint excluded-instrument relevance; not conditional strength
joint,lwti,4,432,military_conflict,0.395125210147,34.7592510723,104.277753217,1.8685983382e-22,119.730560705,39.9101869015,3,8.81991772951e-26,joint excluded-instrument relevance; not conditional strength
joint,lwti,4,432,diplomatic_tension,0.764824533949,136.761328438,410.283985313,1.31069488787e-88,460.37338104,153.45779368,3,1.84342707407e-99,joint excluded-instrument relevance; not conditional strength
joint,lwti,4,432,nuclear_threat,0.546791035905,42.830856851,128.492570553,1.14264996697e-27,145.935494351,48.6451647838,3,1.98370234505e-31,joint excluded-instrument relevance; not conditional strength
joint,lwti,5,432,military_conflict,0.395125210147,34.7592510723,104.277753217,1.8685983382e-22,119.730560705,39.9101869015,3,8.81991772951e-26,joint excluded-instrument relevance; not conditional strength
joint,lwti,5,432,diplomatic_tension,0.764824533949,136.761328438,410.283985313,1.31069488787e-88,460.37338104,153.45779368,3,1.84342707407e-99,joint excluded-instrument relevance; not conditional strength
joint,lwti,5,432,nuclear_threat,0.546791035905,42.830856851,128.492570553,1.14264996697e-27,145.935494351,48.6451647838,3,1.98370234505e-31,joint excluded-instrument relevance; not conditional strength
joint,lwti,6,431,military_conflict,0.382156776044,33.2829824127,99.848947238,1.67484408873e-21,112.711671059,37.5705570197,3,2.86219516102e-24,joint excluded-instrument relevance; not conditional strength
joint,lwti,6,431,diplomatic_tension,0.760609621483,142.130259774,426.390779321,4.2489110971e-92,469.689784614,156.563261538,3,1.76573893304e-101,joint excluded-instrument relevance; not conditional strength
joint,lwti,6,431,nuclear_threat,0.545417701523,43.0799534156,129.239860247,7.8864480042e-28,147.067409303,49.0224697677,3,1.13067972205e-31,joint excluded-instrument relevance; not conditional strength
joint,lwti,7,430,military_conflict,0.382080292266,33.6691837586,101.007551276,9.43720587828e-22,114.009114659,38.0030382195,3,1.50454629767e-24,joint excluded-instrument relevance; not conditional strength
joint,lwti,7,430,diplomatic_tension,0.770296633848,146.28622912,438.85868736,8.45542658129e-95,483.239531248,161.079843749,3,2.0454379108e-104,joint excluded-instrument relevance; not conditional strength
joint,lwti,7,430,nuclear_threat,0.54560365601,43.9894430019,131.968329006,2.03643554737e-28,150.001008068,50.0003360226,3,2.63359491096e-32,joint excluded-instrument relevance; not conditional strength
joint,lwti,8,429,military_conflict,0.383583489796,34.1604360618,102.481308185,4.54890125884e-22,115.735028874,38.5783429579,3,6.39492264942e-25,joint excluded-instrument relevance; not conditional strength
joint,lwti,8,429,diplomatic_tension,0.768734214867,142.547256083,427.641768249,2.27647060657e-92,472.151094084,157.383698028,3,5.17118512592e-102,joint excluded-instrument relevance; not conditional strength
joint,lwti,8,429,nuclear_threat,0.544839156186,44.3484195633,133.04525869,1.19332062865e-28,151.16139847,50.3871328234,3,1.47987477206e-32,joint excluded-instrument relevance; not conditional strength
joint,lwti,9,428,military_conflict,0.381982510555,33.8652109016,101.595632705,7.05309262388e-22,114.760269781,38.2534232602,3,1.03680237808e-24,joint excluded-instrument relevance; not conditional strength
joint,lwti,9,428,diplomatic_tension,0.76875117035,142.286745162,426.860235486,3.36181931747e-92,471.344471055,157.114823685,3,7.73350415537e-102,joint excluded-instrument relevance; not conditional strength
joint,lwti,9,428,nuclear_threat,0.544163589323,44.3894847385,133.168454215,1.12254459743e-28,151.360689334,50.4535631115,3,1.34039220449e-32,joint excluded-instrument relevance; not conditional strength
joint,lwti,10,427,military_conflict,0.380627555109,33.3634335303,100.090300591,1.48620677033e-21,113.109145273,37.7030484245,3,2.35039057259e-24,joint excluded-instrument relevance; not conditional strength
joint,lwti,10,427,diplomatic_tension,0.768715254242,142.269655992,426.808967975,3.4489032096e-92,471.55571288,157.185237627,3,6.95989408221e-102,joint excluded-instrument relevance; not conditional strength
joint,lwti,10,427,nuclear_threat,0.543895070646,44.4008760755,133.202628226,1.10366612043e-28,151.40984711,50.4699490366,3,1.30805804577e-32,joint excluded-instrument relevance; not conditional strength
