model,outcome,event,horizon,beta,block_length,draws,seed,multiplier_se,critical90,critical95,sim90_low,sim90_high,sim95_low,sim95_high
single,lwti,military_conflict,34,0.000681888901103,6,1999,20260925,0.0435513170622,2.6154442729,2.87586922455,-0.113224153887,0.114587931689,-0.124566003527,0.125929781329
single,lwti,military_conflict,35,0.0025300902924,6,1999,20260925,0.0513250951212,2.6154442729,2.87586922455,-0.131707835799,0.136768016384,-0.145074171214,0.150134351799
single,lwti,military_conflict,36,-0.00231802104475,6,1999,20260925,0.0534752169753,2.6154442729,2.87586922455,-0.142179471025,0.137543428936,-0.15610575182,0.151469709731
single,lwti,military_conflict,37,0.00227346586108,6,1999,20260925,0.0568538609107,2.6154442729,2.87586922455,-0.14642463905,0.150971570772,-0.161230803029,0.165777734751
single,lwti,military_conflict,38,-0.022985925748,6,1999,20260925,0.0552150574616,2.6154442729,2.87586922455,-0.167397831564,0.121425980068,-0.181777210234,0.135805358738
single,lwti,military_conflict,39,-0.00388617700505,6,1999,20260925,0.054049715733,2.6154442729,2.87586922455,-0.145250196471,0.137477842461,-0.159326091077,0.151553737067
single,lwti,military_conflict,40,-1.50769987786e-05,6,1999,20260925,0.0554783967174,2.6154442729,2.87586922455,-0.145115731963,0.145085577966,-0.159563690746,0.159533536748
single,lwti,military_conflict,41,0.0141266543752,6,1999,20260925,0.0545421795609,2.6154442729,2.87586922455,-0.128525376789,0.15677868554,-0.142729521264,0.170982830014
single,lwti,military_conflict,42,0.0266964258508,6,1999,20260925,0.0541393503911,2.6154442729,2.87586922455,-0.114902028068,0.16829487977,-0.129001265776,0.182394117478
single,lwti,military_conflict,43,0.00926314148589,6,1999,20260925,0.0530459340865,2.6154442729,2.87586922455,-0.129475543021,0.148001825993,-0.143290027841,0.161816310813
single,lwti,military_conflict,44,0.0212971289441,6,1999,20260925,0.0545158290433,2.6154442729,2.87586922455,-0.12128598391,0.163880241798,-0.135483266052,0.178077523941
single,lwti,military_conflict,45,0.0524517704135,6,1999,20260925,0.0569213335457,2.6154442729,2.87586922455,-0.0964228054146,0.201326346242,-0.111246540951,0.216150081778
