model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,interpretation
single,pre_2008,lwti,diplomatic_tension,12,213,1990-04-01,2007-12-01,-0.159565888282,HC3,0.361031527374,0.111710679857,0.153180999967,-0.343313605215,0.02418182865,-0.378514797491,0.0593830209263,0.107837939292,0.138958055742,-0.33694351385,0.0178117372849,-0.370924365462,0.0517925888968,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,diplomatic_tension,12,212,2008-01-01,2025-08-01,-0.0799026404504,HC3,0.685898295809,0.0852637472294,0.348695159904,-0.220149024328,0.0603437434274,-0.247016514207,0.0872112333062,0.0822527491233,0.331335088818,-0.215196373173,0.0553910922717,-0.241115066361,0.0813097854606,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,diplomatic_tension,12,261,1990-04-01,2011-12-01,-0.0972816993537,HC3,0.308098010489,0.0942060476467,0.301768593627,-0.252236858506,0.0576734597988,-0.281922159867,0.0873587611597,0.091829324168,0.289428985627,-0.248327496272,0.0537640975645,-0.277263867448,0.0827004687402,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,diplomatic_tension,12,164,2012-01-01,2025-08-01,-0.128392848021,HC3,0.742252264117,0.0938671435912,0.171370121309,-0.282790559609,0.0260048635665,-0.312369068792,0.0555833727494,0.0882877742144,0.145875901114,-0.273613313653,0.0168276176109,-0.301433705757,0.0446480097142,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,diplomatic_tension,12,345,1990-04-01,2018-12-01,-0.134184944607,HC3,0.255534160391,0.0841351892314,0.110740630646,-0.272575015768,0.00420512655446,-0.299086885333,0.0307169961189,0.0821358959937,0.102323057111,-0.269286471035,0.000916581821121,-0.295168342593,0.0267984533786,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,diplomatic_tension,12,80,2019-01-01,2025-08-01,-0.333476656691,HC3,0.851886925942,0.132007532609,0.0115305739244,-0.550609725488,-0.116343587894,-0.592206666293,-0.0747466470895,0.119708839309,0.0053407127472,-0.530380175206,-0.136573138176,-0.568101670367,-0.0988516430154,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,diplomatic_tension,24,213,1990-04-01,2007-12-01,-0.239237938692,HC3,0.361031527374,0.124705175486,0.055056724608,-0.44435969889,-0.0341161784943,-0.48365559133,0.00517971394618,0.120686945003,0.0474454816185,-0.437750297906,-0.0407255794783,-0.475780004302,-0.00269587308222,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,diplomatic_tension,24,200,2008-01-01,2024-08-01,-0.183063860556,HC3,0.69449717591,0.109753485591,0.0953246864139,-0.363592279401,-0.00253544171056,-0.398176739492,0.0320490183807,0.106343878498,0.0851722824524,-0.357983974808,-0.00814374630353,-0.391494032389,0.0253663112775,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,diplomatic_tension,24,261,1990-04-01,2011-12-01,-0.136660638469,HC3,0.308098010489,0.102235669076,0.181313492411,-0.304823349552,0.0315020726148,-0.337038867793,0.0637175908557,0.0998878777949,0.171268141173,-0.300961576548,0.027640299611,-0.332437281439,0.0591160045017,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,diplomatic_tension,24,152,2012-01-01,2024-08-01,-0.273187904009,HC3,0.751785706254,0.11461947231,0.017151977407,-0.461720158757,-0.0846556492601,-0.497837941664,-0.0485378663539,0.110773894956,0.0136564273251,-0.455394746899,-0.090981061119,-0.49030074855,-0.056075059468,Descriptive origin-month split; no independent-subsample difference test
