model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,matched_baseline_beta,matched_baseline_n
single,extra_4_price_lags,lwti,nuclear_threat,48,388,1990-05-01,2022-08-01,0.00584445143897,HC3,0.483530993104,0.0522067543387,0.910864489892,-0.0800280177865,0.0917169206644,-0.0964789068147,0.108167809693,0.0512990438907,0.909294035338,-0.0785349669637,0.0902238698417,-0.0946998270281,0.106388729906,0.00638628105861,388
single,three_lags_all_variables,lwti,nuclear_threat,48,388,1990-05-01,2022-08-01,0.00685895405418,HC3,0.571753505098,0.0527401369652,0.89652537953,-0.0798908515189,0.0936087596273,-0.0965098149373,0.110227723046,0.0517548171583,0.894566805217,-0.0782701446608,0.0919880527691,-0.0945786236025,0.108296531711,0.00638628105861,388
single,non_augmented_2_price_lags,lbrent,military_conflict,0,432,1990-04-01,2026-03-01,0.064997107481,HC3,0.406050879263,0.0303449601908,0.0321982483362,0.0150840896516,0.114910125311,0.00552207839487,0.124472136567,0.0273308133817,0.0173991702276,0.0200419199626,0.109952295,0.0114296975847,0.118564517377,0.0636325636996,432
single,extra_4_price_lags,lbrent,military_conflict,0,431,1990-05-01,2026-03-01,0.0631737738283,HC3,0.443205995464,0.0303195077635,0.0371964245381,0.0133026215161,0.11304492614,0.00374863058283,0.122598917074,0.0272572138014,0.020466170957,0.0183396468464,0.10800790081,0.00975061645859,0.116596931198,0.0631675260386,431
single,three_lags_all_variables,lbrent,military_conflict,0,431,1990-05-01,2026-03-01,0.063830310469,HC3,0.550331840347,0.0310474258458,0.0397924428278,0.0127618394591,0.114898781479,0.0029784739986,0.124682146939,0.0278804395936,0.0220543897908,0.0179710682824,0.109689552656,0.00918565299233,0.118474967946,0.0631675260386,431
single,non_augmented_2_price_lags,lbrent,military_conflict,12,425,1990-04-01,2025-08-01,-0.00117452767838,HC3,0.40852688751,0.0501051215077,0.981298285393,-0.0835901185191,0.0812410631624,-0.0993787612744,0.0970297059177,0.046170313728,0.979704785222,-0.0771179356714,0.0747688803146,-0.0916666797402,0.0893176243834,-0.00406498170357,425
single,extra_4_price_lags,lbrent,military_conflict,12,424,1990-05-01,2025-08-01,-0.00395767058114,HC3,0.445734183024,0.0506014720148,0.937658972524,-0.0871896853538,0.0792743441916,-0.103134733295,0.0952193921327,0.0464852114074,0.93215146395,-0.0804190391641,0.0725036980019,-0.0950670107533,0.087151669591,-0.00383882843953,424
single,three_lags_all_variables,lbrent,military_conflict,12,424,1990-05-01,2025-08-01,-0.0120586170399,HC3,0.552668642448,0.0493923084016,0.80712272549,-0.0933017346578,0.0691845005779,-0.10886576262,0.0847485285405,0.0455481286581,0.791206285846,-0.086978621664,0.0628613875841,-0.101331308773,0.0772140746931,-0.00383882843953,424
single,non_augmented_2_price_lags,lbrent,military_conflict,24,413,1990-04-01,2024-08-01,0.00802080883977,HC3,0.413563741636,0.0668186575649,0.904452680515,-0.101886102404,0.117927720083,-0.122941353483,0.138982971162,0.0621725078056,0.897350581078,-0.0942438661209,0.1102854838,-0.113835067288,0.129876684967,0.00449431800885,413
single,extra_4_price_lags,lbrent,military_conflict,24,412,1990-05-01,2024-08-01,0.0046547117196,HC3,0.448995653956,0.0670592272074,0.944661717214,-0.105647901373,0.114957324812,-0.126778958438,0.136088381877,0.0623540298113,0.940493402723,-0.0979085403705,0.10721796381,-0.117556941001,0.126866364441,0.00449167595539,412
single,three_lags_all_variables,lbrent,military_conflict,24,412,1990-05-01,2024-08-01,-0.00716600690579,HC3,0.553871486217,0.0702834405679,0.918789471787,-0.122771979039,0.108439965227,-0.144919019128,0.130587005317,0.0652865740746,0.91259786171,-0.114552865064,0.100220851252,-0.135125340766,0.120793326954,0.00449167595539,412
single,non_augmented_2_price_lags,lbrent,military_conflict,48,389,1990-04-01,2022-08-01,0.0494129397258,HC3,0.424881434962,0.0871255063086,0.570614545408,-0.0938957653259,0.192721644778,-0.121349914774,0.220175794226,0.0778876683945,0.525811408578,-0.0787008741277,0.177526753579,-0.103244085167,0.202069964619,0.0470016758468,389
single,extra_4_price_lags,lbrent,military_conflict,48,388,1990-05-01,2022-08-01,0.0453811452838,HC3,0.460331876188,0.0882693235862,0.607167139701,-0.0998089717654,0.190571262333,-0.127623549885,0.218385840452,0.0786154527173,0.563767361297,-0.0839297672527,0.17469205782,-0.10870231067,0.199464601238,0.0452909953714,388
single,three_lags_all_variables,lbrent,military_conflict,48,388,1990-05-01,2022-08-01,0.0243273321165,HC3,0.561750916556,0.0875059759593,0.781006474209,-0.11960718982,0.168261854053,-0.147181229196,0.195835893429,0.0779920302763,0.755100756977,-0.103958141757,0.15261280599,-0.128534238306,0.177188902539,0.0452909953714,388
single,non_augmented_2_price_lags,lbrent,diplomatic_tension,0,432,1990-04-01,2026-03-01,-0.0187857987432,HC3,0.403714503511,0.032063355933,0.557945263908,-0.0715253260419,0.0339537285555,-0.0816288215954,0.044057224109,0.0307282841541,0.540966555989,-0.069329328384,0.0317577308976,-0.0790121289919,0.0414405315055,-0.0165870734068,432
single,extra_4_price_lags,lbrent,diplomatic_tension,0,431,1990-05-01,2026-03-01,-0.0157057188642,HC3,0.442757924258,0.0326532252853,0.630527000713,-0.0694154949063,0.0380040571779,-0.0797048644024,0.048293426674,0.031143668844,0.614051329493,-0.0669324955189,0.0355210577905,-0.0767461881449,0.0453347504165,-0.0160220684628,431
single,three_lags_all_variables,lbrent,diplomatic_tension,0,431,1990-05-01,2026-03-01,-0.0139107940508,HC3,0.550565480251,0.0341100304156,0.683404937067,-0.0700168012954,0.0421952131937,-0.080765225177,0.0529436370754,0.0320168095884,0.663936953166,-0.0665737594258,0.0387521713241,-0.076662587744,0.0488409996424,-0.0160220684628,431
single,non_augmented_2_price_lags,lbrent,diplomatic_tension,12,425,1990-04-01,2025-08-01,-0.184265311624,HC3,0.406911957278,0.0801860253389,0.021563332686,-0.316159586234,-0.0523710370149,-0.341427033352,-0.0271035898968,0.0785516353345,0.0189870150633,-0.313471253907,-0.0550593693416,-0.338223687807,-0.0303069354422,-0.180809647546,425
single,extra_4_price_lags,lbrent,diplomatic_tension,12,424,1990-05-01,2025-08-01,-0.180894641089,HC3,0.449406570632,0.0817182427983,0.0268536628284,-0.315309189144,-0.0464800930345,-0.341059453854,-0.0207298283248,0.0798518283431,0.0234894425987,-0.312239210558,-0.0495500716205,-0.337401348742,-0.0243879334372,-0.183403570961,424
single,three_lags_all_variables,lbrent,diplomatic_tension,12,424,1990-05-01,2025-08-01,-0.158957420312,HC3,0.554172966964,0.0813515744797,0.0507063871594,-0.292768852653,-0.0251459879707,-0.318403576378,0.000488735753967,0.0793155439628,0.0450578119319,-0.289419880473,-0.028494960151,-0.314413029893,-0.00350181073056,-0.183403570961,424
single,non_augmented_2_price_lags,lbrent,diplomatic_tension,24,413,1990-04-01,2024-08-01,-0.310085783365,HC3,0.411403104527,0.103899052088,0.00284050579901,-0.480984516028,-0.139187050701,-0.513724183485,-0.106447383245,0.10170975035,0.00229809296301,-0.477383435124,-0.142788131606,-0.509433230926,-0.110738335803,-0.307917543159,413
single,extra_4_price_lags,lbrent,diplomatic_tension,24,412,1990-05-01,2024-08-01,-0.315402249079,HC3,0.452856842288,0.104594026029,0.00256564321934,-0.487444112151,-0.143360386008,-0.520402773094,-0.110401725064,0.102241196945,0.00203631445737,-0.483574052698,-0.14723044546,-0.515791312828,-0.11501318533,-0.311099751908,412
single,three_lags_all_variables,lbrent,diplomatic_tension,24,412,1990-05-01,2024-08-01,-0.292891548667,HC3,0.556062360122,0.105218886955,0.00537525861921,-0.465961216498,-0.119821880836,-0.499116777592,-0.0866663197431,0.102474462192,0.00426064331789,-0.461447039474,-0.124336057861,-0.493737803899,-0.0920452934355,-0.311099751908,412
single,non_augmented_2_price_lags,lbrent,diplomatic_tension,48,389,1990-04-01,2022-08-01,-0.255541586757,HC3,0.424826915404,0.106706644918,0.0166292150429,-0.43105839867,-0.0800247748433,-0.464682767707,-0.0464004058061,0.104473077895,0.0144449319931,-0.427384507852,-0.0836986656618,-0.460305056785,-0.0507781167278,-0.254957104636,389
single,extra_4_price_lags,lbrent,diplomatic_tension,48,388,1990-05-01,2022-08-01,-0.257610137986,HC3,0.462504002135,0.108392573971,0.017471125246,-0.435900056417,-0.0793202195549,-0.470055679161,-0.045164596811,0.106035612653,0.0151209956671,-0.432023200045,-0.0831970759271,-0.465436119865,-0.0497841561068,-0.255111944525,388
single,three_lags_all_variables,lbrent,diplomatic_tension,48,388,1990-05-01,2022-08-01,-0.236588416816,HC3,0.563944712101,0.10916659282,0.0302178083508,-0.416151482958,-0.0570253506738,-0.450551007058,-0.0226258265735,0.106439653353,0.0262328668488,-0.411666066685,-0.0615107669462,-0.445206303915,-0.0279705297164,-0.255111944525,388
single,non_augmented_2_price_lags,lbrent,nuclear_threat,0,432,1990-04-01,2026-03-01,0.0254156575625,HC3,0.403848780147,0.0158812620472,0.109519845842,-0.000706693916437,0.0515380090415,-0.0057110440791,0.0565423592041,0.0149439171152,0.0889925750827,0.000835101294665,0.0499962138304,-0.00387388177129,0.0547051968963,0.0247333491122,432
single,extra_4_price_lags,lbrent,nuclear_threat,0,431,1990-05-01,2026-03-01,0.0255778408087,HC3,0.441913553493,0.0160289844587,0.11055034963,-0.000787492414454,0.0519431740319,-0.005838391439,0.0569940730564,0.0150585707273,0.0894026831245,0.000808696131196,0.0503469854862,-0.00393641547546,0.0550920970929,0.0253296487729,431
single,three_lags_all_variables,lbrent,nuclear_threat,0,431,1990-05-01,2026-03-01,0.023387502049,HC3,0.545186176418,0.015966585024,0.142981503355,-0.00287519323773,0.0496501973357,-0.0079064295541,0.054681433652,0.0149165783375,0.116907619037,-0.00114808593111,0.047923090029,-0.00584845426502,0.0526234583629,0.0253296487729,431
single,non_augmented_2_price_lags,lbrent,nuclear_threat,12,425,1990-04-01,2025-08-01,0.0902733398645,HC3,0.407415206622,0.0471929541088,0.0557664505598,0.012647838132,0.167898841597,-0.00222315051287,0.182769830242,0.0455421057546,0.0474574064519,0.015363242035,0.165183437694,0.00101245280531,0.179534226924,0.0883900101636,425
single,extra_4_price_lags,lbrent,nuclear_threat,12,424,1990-05-01,2025-08-01,0.0889726244626,HC3,0.445326435625,0.0472112283245,0.0594886029773,0.0113170643202,0.166628184605,-0.00355968271931,0.181504931645,0.0454453066952,0.0502539942568,0.014221746917,0.163723502008,-9.85399264193e-05,0.178043788852,0.0881138593379,424
single,three_lags_all_variables,lbrent,nuclear_threat,12,424,1990-05-01,2025-08-01,0.0808212708263,HC3,0.547709498706,0.0469998846804,0.0855041345999,0.00351334004344,0.158129201609,-0.0112968104248,0.172939352077,0.0451370112074,0.0733612835079,0.00657749423205,0.155065047421,-0.00764564550999,0.169288187163,0.0881138593379,424
single,non_augmented_2_price_lags,lbrent,nuclear_threat,24,413,1990-04-01,2024-08-01,0.09960244231,HC3,0.412323480959,0.049420791595,0.0438632227678,0.0183124740082,0.180892410612,0.00273947069634,0.196465413924,0.0480083651525,0.0380153381152,0.0206357087649,0.178569175855,0.00550777565445,0.193697108966,0.0980116919863,413
single,extra_4_price_lags,lbrent,nuclear_threat,24,412,1990-05-01,2024-08-01,0.0972771523277,HC3,0.448970276324,0.0500596191891,0.0519888609334,0.0149364061407,0.179617898515,-0.000837898362691,0.195392203018,0.0485642987734,0.0451709635909,0.01739598935,0.177158315305,0.00209287579748,0.192461428858,0.0980276194023,412
single,three_lags_all_variables,lbrent,nuclear_threat,24,412,1990-05-01,2024-08-01,0.103237032775,HC3,0.54927624504,0.0524518073329,0.0490419921009,0.0169614872438,0.189512578307,0.000433379478975,0.206040686072,0.0508387770022,0.0422879754347,0.0196146860336,0.186859379517,0.00359486083304,0.202879204718,0.0980276194023,412
single,non_augmented_2_price_lags,lbrent,nuclear_threat,48,389,1990-04-01,2022-08-01,0.0155253221949,HC3,0.425925606556,0.0536495762947,0.772287634482,-0.0727203779579,0.103771022348,-0.0896259151286,0.120676559518,0.0527689929714,0.768595169693,-0.0712719472846,0.102322591674,-0.0879000035294,0.118950647919,0.014845668432,389
single,extra_4_price_lags,lbrent,nuclear_threat,48,388,1990-05-01,2022-08-01,0.0167186409588,HC3,0.462627025028,0.0542457697211,0.757928823727,-0.0725077101137,0.105944992031,-0.0896011140082,0.123038395926,0.0533130977171,0.753829796231,-0.0709736011852,0.104410883103,-0.0877731104709,0.121210392389,0.0174505893384,388
single,three_lags_all_variables,lbrent,nuclear_threat,48,388,1990-05-01,2022-08-01,0.017274366717,HC3,0.558513784895,0.054885913043,0.75296495836,-0.0730049264203,0.107553659854,-0.0903000461059,0.12484877954,0.0538796674033,0.74850586632,-0.0713497996302,0.105898533064,-0.0883278408924,0.122876574326,0.0174505893384,388
