model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high
joint,mechanism_lag_augmented,lwip,diplomatic_tension,13,422,1990-04-01,2025-05-01,-0.00835216222468,HC3,0.554935248681,0.00895811123268,0.351151799164,-0.0230869439764,0.00638261952703,-0.0259097376102,0.00920541316088,0.00859361600974,0.331098746752,-0.0224874026869,0.00578307823757,-0.0251953401007,0.00849101565138
joint,mechanism_lag_augmented,lwip,nuclear_threat,13,422,1990-04-01,2025-05-01,0.00483643732054,HC3,0.554935248681,0.00457518950305,0.290465502697,-0.00268907972754,0.0123619543686,-0.00413076932788,0.013803643969,0.00432724154142,0.263707045104,-0.00228124162356,0.0119541162646,-0.00364480025305,0.0133176748941
joint,mechanism_lag_augmented,lwip,military_conflict,14,421,1990-04-01,2025-04-01,-0.000205843782034,HC3,0.555021837253,0.0045558322947,0.963961862335,-0.00769952105576,0.00728783349169,-0.00913511099926,0.00872342343519,0.00413956543022,0.960340784929,-0.00701482299394,0.00660313542987,-0.00831924293692,0.00790755537285
joint,mechanism_lag_augmented,lwip,diplomatic_tension,14,421,1990-04-01,2025-04-01,-0.00845224393787,HC3,0.555021837253,0.00926375515586,0.361558545493,-0.0236897652052,0.00678527732943,-0.0266088704049,0.0097043825292,0.00890209210274,0.342383076446,-0.0230948824205,0.00619039454478,-0.0259000238463,0.00899553597056
joint,mechanism_lag_augmented,lwip,nuclear_threat,14,421,1990-04-01,2025-04-01,0.00582912501797,HC3,0.555021837253,0.00448618998582,0.193824296673,-0.0015500008514,0.0132082508873,-0.00296364578204,0.014621895818,0.00424499919411,0.169698077805,-0.00115327730288,0.0128115273388,-0.0024909205169,0.0141491705528
joint,mechanism_lag_augmented,lwip,military_conflict,15,420,1990-04-01,2025-03-01,0.00219504124639,HC3,0.556630530452,0.00489624597975,0.653928716591,-0.00585856671184,0.0102486492046,-0.00740142453336,0.0117915070261,0.00443937797163,0.620989871664,-0.00510708571165,0.00949716820443,-0.00650597969176,0.0108960621845
joint,mechanism_lag_augmented,lwip,diplomatic_tension,15,420,1990-04-01,2025-03-01,-0.0102228584335,HC3,0.556630530452,0.00982185114964,0.297955347234,-0.0263783659203,0.00593264905339,-0.0294733329483,0.00902761608134,0.00941229473605,0.277426991829,-0.025704705568,0.00525898870105,-0.028670617128,0.00822490026106
joint,mechanism_lag_augmented,lwip,nuclear_threat,15,420,1990-04-01,2025-03-01,0.00641654295121,HC3,0.556630530452,0.00452015227491,0.15574125769,-0.00101844591254,0.013851531815,-0.00244279271224,0.0152758786147,0.00428118673758,0.133931569866,-0.000625382581761,0.0134584684842,-0.00197442886554,0.014807514768
joint,mechanism_lag_augmented,lwip,military_conflict,16,419,1990-04-01,2025-02-01,-0.000992644103326,HC3,0.55663106758,0.00527754867613,0.850807589414,-0.00967343918468,0.00768815097803,-0.0113364494352,0.00935116122856,0.00485028097898,0.837840094254,-0.00897064636333,0.00698535815668,-0.010499020137,0.00851373193037
joint,mechanism_lag_augmented,lwip,diplomatic_tension,16,419,1990-04-01,2025-02-01,-0.0163721585169,HC3,0.55663106758,0.0120876925263,0.1755932935,-0.0362546434102,0.00351032637645,-0.0400636005246,0.00731928349082,0.0115195098577,0.155242702758,-0.035320066087,0.00257574905327,-0.0389499829575,0.00620566592378
