model,outcome,horizon,n,event,sw_conditional_F,conditional_df,residual_df,raw_wald_F_all_instruments,excluded_instruments,endogenous_regressors,covariance_assumption
joint,lwti,21,416,nuclear_threat,456.327459303,1,399,152.109153101,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,22,415,military_conflict,197.325602048,1,398,65.7752006825,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,22,415,diplomatic_tension,669.965475067,1,398,223.321825022,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,22,415,nuclear_threat,453.942927645,1,398,151.314309215,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,23,414,military_conflict,195.037199805,1,397,65.012399935,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,23,414,diplomatic_tension,671.697219971,1,397,223.899073324,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,23,414,nuclear_threat,450.286703682,1,397,150.095567894,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,24,413,military_conflict,195.171706341,1,396,65.057235447,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,24,413,diplomatic_tension,677.491087544,1,396,225.830362515,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,24,413,nuclear_threat,447.510867812,1,396,149.170289271,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,25,412,military_conflict,192.198573343,1,395,64.0661911145,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,25,412,diplomatic_tension,655.33235177,1,395,218.444117257,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,25,412,nuclear_threat,456.920626487,1,395,152.306875496,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,26,411,military_conflict,192.707230096,1,394,64.2357433653,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,26,411,diplomatic_tension,658.204397502,1,394,219.401465834,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,26,411,nuclear_threat,461.542701316,1,394,153.847567105,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,27,410,military_conflict,192.175563031,1,393,64.0585210103,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,27,410,diplomatic_tension,655.529753128,1,393,218.509917709,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,27,410,nuclear_threat,460.388451181,1,393,153.46281706,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,28,409,military_conflict,194.09409172,1,392,64.6980305733,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,28,409,diplomatic_tension,654.69117447,1,392,218.23039149,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,28,409,nuclear_threat,463.454222276,1,392,154.484740759,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,29,408,military_conflict,192.101129395,1,391,64.0337097984,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,29,408,diplomatic_tension,652.045923085,1,391,217.348641028,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,29,408,nuclear_threat,465.612532931,1,391,155.204177644,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,30,407,military_conflict,192.073724173,1,390,64.0245747242,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,30,407,diplomatic_tension,654.421577758,1,390,218.140525919,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,30,407,nuclear_threat,464.494599781,1,390,154.83153326,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,31,406,military_conflict,189.975609364,1,389,63.3252031214,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,31,406,diplomatic_tension,635.017696161,1,389,211.672565387,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,31,406,nuclear_threat,464.756005316,1,389,154.918668439,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,32,405,military_conflict,188.8708826,1,388,62.9569608668,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,32,405,diplomatic_tension,630.38530651,1,388,210.128435503,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,32,405,nuclear_threat,464.251152913,1,388,154.750384304,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,33,404,military_conflict,187.657741879,1,387,62.5525806263,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,33,404,diplomatic_tension,620.936806114,1,387,206.978935371,3,3,homoskedastic Sanderson-Windmeijer correction
