model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high
joint,baseline,lwti,diplomatic_tension,33,404,1990-04-01,2023-11-01,-0.152979933546,HC3,0.486909307908,0.110456871657,0.166060311977,-0.334665319513,0.0287054524206,-0.369471423839,0.0635115567466,0.106582500259,0.151196093376,-0.328292545667,0.0223326785738,-0.361877795436,0.0559179283431
joint,baseline,lwti,nuclear_threat,33,404,1990-04-01,2023-11-01,0.0266981628295,HC3,0.486909307908,0.067602448099,0.692895335096,-0.0844979691171,0.137894294776,-0.105800200711,0.15919652637,0.0643935522186,0.6784279706,-0.0792198050897,0.132616130749,-0.0995108803557,0.152907206015
joint,baseline,lwti,military_conflict,34,403,1990-04-01,2023-10-01,-0.0125805378032,HC3,0.488098360054,0.0728695759962,0.862930803268,-0.132440324175,0.107279248569,-0.155402282325,0.130241206718,0.0665634898934,0.850092366842,-0.122067735577,0.0969066599705,-0.14304258068,0.117881505073
joint,baseline,lwti,diplomatic_tension,34,403,1990-04-01,2023-10-01,-0.169671075089,HC3,0.488098360054,0.114140924227,0.137145547798,-0.357416188288,0.0180740381101,-0.393383175737,0.0540410255589,0.109602292773,0.121607522519,-0.349950803879,0.0106086537009,-0.384487621547,0.0451454713692
joint,baseline,lwti,nuclear_threat,34,403,1990-04-01,2023-10-01,0.0424182874593,HC3,0.488098360054,0.0590070915699,0.472222489146,-0.0546397411254,0.139476316044,-0.0732334868502,0.158070061769,0.0567838858073,0.455055856454,-0.0509828930632,0.135819467982,-0.0688760836252,0.153712658544
joint,baseline,lwti,military_conflict,35,402,1990-04-01,2023-09-01,-0.0210003740372,HC3,0.488104983354,0.0828707920978,0.799950593367,-0.157310696988,0.115309948913,-0.183424141919,0.141423393845,0.0744228057478,0.777808102643,-0.143414995999,0.101414247925,-0.166866392931,0.124865644857
joint,baseline,lwti,diplomatic_tension,35,402,1990-04-01,2023-09-01,-0.233942494616,HC3,0.488104983354,0.117467659648,0.0464206624702,-0.427159600638,-0.040725388594,-0.464174876875,-0.00371011235706,0.111999658241,0.0367276533991,-0.418165538691,-0.0497194505412,-0.453457791049,-0.0144271981831
joint,baseline,lwti,nuclear_threat,35,402,1990-04-01,2023-09-01,0.0324879334034,HC3,0.488104983354,0.0621586042881,0.601209565424,-0.0697538723061,0.134729739113,-0.0893406923305,0.154316559137,0.0597542926538,0.586653409442,-0.0657991315942,0.130774998401,-0.0846283281198,0.149604194927
joint,baseline,lwti,military_conflict,36,401,1990-04-01,2023-08-01,-0.028209309761,HC3,0.48815087263,0.0883600000073,0.749533685703,-0.17354857625,0.117129956728,-0.201391727449,0.144973107927,0.0793138073301,0.722089906043,-0.158668913415,0.102250293893,-0.183661515605,0.127242896083
joint,baseline,lwti,diplomatic_tension,36,401,1990-04-01,2023-08-01,-0.18434777022,HC3,0.48815087263,0.114437631844,0.107201159839,-0.372580924018,0.00388538357802,-0.40864140711,0.0399458666699,0.108805412922,0.0902104566617,-0.363316748297,-0.00537879214298,-0.397602460871,0.0289069204305
joint,baseline,lwti,nuclear_threat,36,401,1990-04-01,2023-08-01,0.0152182924125,HC3,0.48815087263,0.061914881437,0.805841876406,-0.0866226248814,0.117059209706,-0.106132645311,0.136569230136,0.0596164464909,0.798514541653,-0.0828420358241,0.113278620649,-0.101627795596,0.132064380421
joint,baseline,lwti,military_conflict,37,400,1990-04-01,2023-07-01,-0.0121654889487,HC3,0.489091596198,0.0899336627707,0.892396976018,-0.160093200342,0.135762222445,-0.188432228977,0.16410125108,0.0802436802477,0.879497056357,-0.144154597444,0.119823619547,-0.169440212221,0.145109234324
joint,baseline,lwti,diplomatic_tension,37,400,1990-04-01,2023-07-01,-0.105731201419,HC3,0.489091596198,0.119875458041,0.377772082205,-0.30290878336,0.0914463805221,-0.340682781809,0.129220378972,0.113793238889,0.352810383142,-0.292904423128,0.0814420202901,-0.328761851325,0.117299448488
joint,baseline,lwti,nuclear_threat,37,400,1990-04-01,2023-07-01,0.0193689768056,HC3,0.489091596198,0.0572479797919,0.735110993744,-0.0747955703907,0.113533524002,-0.0928350017742,0.131572955385,0.0549400894038,0.72442789825,-0.0709994285152,0.109737382126,-0.0883116197332,0.127049573344
