model,outcome,event,horizon,n,augmented_price_lags,conventional_price_lags,augmented_beta,augmented_hc3_se,conventional_beta,conventional_hac6_se,comparison
single,lwti,diplomatic_tension,5,432,3,2,-0.00729442083791,0.0638682515479,-0.0146870455111,0.0538713974258,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,6,431,3,2,-0.0133168452654,0.0661959375692,-0.0206051605974,0.0553825130554,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,7,430,3,2,-0.0277074228923,0.0785841635013,-0.0345192790413,0.0572023581011,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,8,429,3,2,-0.132620793905,0.089663015949,-0.137657603653,0.0667329514289,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,9,428,3,2,-0.144622850903,0.0731984390855,-0.148162637471,0.0566487126757,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,10,427,3,2,-0.171001894531,0.0744478554697,-0.174015626603,0.0638885903239,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,11,426,3,2,-0.1865169966,0.0734777832913,-0.19016924716,0.0663599096037,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,12,425,3,2,-0.19529046305,0.0753288673089,-0.198961983931,0.06590378634,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,13,424,3,2,-0.177120522154,0.079672149504,-0.18023022967,0.0632725816144,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,14,423,3,2,-0.169393156874,0.0813972837112,-0.172026095752,0.0665870670343,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,15,422,3,2,-0.192231337587,0.083398609125,-0.194435026656,0.0746807101938,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,16,421,3,2,-0.204706988964,0.0965502711708,-0.208344474184,0.0789362757543,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,17,420,3,2,-0.209690000428,0.104067038664,-0.213068436592,0.0718509006938,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,18,419,3,2,-0.242301221524,0.11030149153,-0.245165972904,0.0865117135169,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,19,418,3,2,-0.212648257914,0.106725554368,-0.215255973014,0.0751142517592,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,20,417,3,2,-0.156728709051,0.118110105202,-0.157967652907,0.077312938491,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,21,416,3,2,-0.208757445969,0.101626307326,-0.211249217452,0.0734385456013,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,22,415,3,2,-0.251093173764,0.0939205991438,-0.254749969207,0.0767678217311,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,23,414,3,2,-0.305664570955,0.10417569787,-0.30773117298,0.0854444334063,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,24,413,3,2,-0.306418676153,0.0969542323432,-0.309688756003,0.0775186346063,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,25,412,3,2,-0.327804477111,0.102164250917,-0.33174647245,0.0847910286185,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,26,411,3,2,-0.297383945226,0.0960587570326,-0.302520702632,0.0820341179464,Matched observations; distinct regressions and covariance estimators
single,lwti,diplomatic_tension,27,410,3,2,-0.262812279768,0.0924774811536,-0.268978081271,0.0766451291862,Matched observations; distinct regressions and covariance estimators
