model,outcome,horizon,n,events,minimum_canonical_correlation,ar_joint_zero_statistic_hc3,ar_joint_zero_p_value_hc3,maximum_canonical_correlation,canonical_correlation_ratio,first_stage_rank,ar_joint_zero_statistic,ar_df
single,lwti,41,396,military_conflict,0.589400175803,0.0246472241452,0.875249305418,0.589400175803,1,1,0.0680112657793,1
single,lwti,42,395,military_conflict,0.590022998393,0.0835906765289,0.772489149243,0.590022998393,1,1,0.247081365653,1
single,lwti,43,394,military_conflict,0.588401328711,0.00869891495387,0.925690674283,0.588401328711,1,1,0.0356127409849,1
single,lwti,44,393,military_conflict,0.588432992553,0.0413413932968,0.838880367462,0.588432992553,1,1,0.183580566162,1
single,lwti,45,392,military_conflict,0.587372714656,0.268773967926,0.604155393065,0.587372714656,1,1,0.947703283487,1
single,lwti,46,391,military_conflict,0.587527120075,0.342711067813,0.558268506773,0.587527120075,1,1,1.25549229341,1
single,lwti,47,390,military_conflict,0.586921654353,0.20491498438,0.650782522551,0.586921654353,1,1,0.444679044917,1
single,lwti,48,389,military_conflict,0.587303204167,0.342915293871,0.558151273326,0.587303204167,1,1,0.723228818525,1
single,lwti,0,432,diplomatic_tension,0.872967529554,0.150200173395,0.698344138813,0.872967529554,1,1,0.119667543025,1
single,lwti,1,432,diplomatic_tension,0.872967529554,0.304009634926,0.581379590513,0.872967529554,1,1,0.291171019986,1
single,lwti,2,432,diplomatic_tension,0.872967529554,0.51129536815,0.474578638177,0.872967529554,1,1,0.703575765511,1
single,lwti,3,432,diplomatic_tension,0.872967529554,0.328106557853,0.566776148193,0.872967529554,1,1,0.458101239747,1
single,lwti,4,432,diplomatic_tension,0.872967529554,0.0356102065318,0.850322725213,0.872967529554,1,1,0.0473618691801,1
single,lwti,5,432,diplomatic_tension,0.872967529554,0.0130257714991,0.909134343055,0.872967529554,1,1,0.0173881375471,1
single,lwti,6,431,diplomatic_tension,0.871496140834,0.0404329048569,0.8406365288,0.871496140834,1,1,0.0565923912964,1
single,lwti,7,430,diplomatic_tension,0.877249048545,0.124095385415,0.724634472675,0.877249048545,1,1,0.246364172764,1
single,lwti,8,429,diplomatic_tension,0.876426742723,2.22182480397,0.136072144981,0.876426742723,1,1,4.78300277749,1
single,lwti,9,428,diplomatic_tension,0.876430010436,3.92003145973,0.0477139873419,0.876430010436,1,1,7.66681368416,1
single,lwti,10,427,diplomatic_tension,0.876415622703,5.20460653496,0.0225271129767,0.876415622703,1,1,8.42876082976,1
single,lwti,11,426,diplomatic_tension,0.876437684693,6.30743031841,0.0120232979622,0.876437684693,1,1,8.71113468914,1
single,lwti,12,425,diplomatic_tension,0.876464643291,6.60787191752,0.0101528922567,0.876464643291,1,1,8.44803553123,1
single,lwti,13,424,diplomatic_tension,0.876197465259,4.83677769691,0.0278589046076,0.876197465259,1,1,7.33398181554,1
single,lwti,14,423,diplomatic_tension,0.877106635283,4.22537123662,0.0398239065886,0.877106635283,1,1,5.62646192261,1
single,lwti,15,422,diplomatic_tension,0.877619752046,5.21743749541,0.0223614788441,0.877619752046,1,1,5.85190539943,1
single,lwti,16,421,diplomatic_tension,0.880965117453,4.52282536667,0.0334455555273,0.880965117453,1,1,7.22184069735,1
single,lwti,17,420,diplomatic_tension,0.880963310961,3.99578037959,0.0456143249375,0.880963310961,1,1,8.78225404878,1
single,lwti,18,419,diplomatic_tension,0.897836182581,4.69718182699,0.0302121177068,0.897836182581,1,1,9.92477657632,1
single,lwti,19,418,diplomatic_tension,0.896704777723,3.79965751868,0.0512630672338,0.896704777723,1,1,9.18912765804,1
single,lwti,20,417,diplomatic_tension,0.896161359172,1.67784992228,0.195210392392,0.896161359172,1,1,4.01156866418,1
single,lwti,21,416,diplomatic_tension,0.896214880149,4.03914179317,0.044456424044,0.896214880149,1,1,9.11981363707,1
single,lwti,22,415,diplomatic_tension,0.895692835739,6.89107394575,0.00866272082769,0.895692835739,1,1,11.9562417828,1
single,lwti,23,414,diplomatic_tension,0.895451378504,8.37627583888,0.00380150595607,0.895451378504,1,1,15.6168959512,1
single,lwti,24,413,diplomatic_tension,0.895396276768,9.56818347784,0.00197978582894,0.895396276768,1,1,17.2046056744,1
single,lwti,25,412,diplomatic_tension,0.895085893489,9.75805153364,0.00178539037812,0.895085893489,1,1,16.3727707587,1
single,lwti,26,411,diplomatic_tension,0.895180190318,8.93291885273,0.00280076407057,0.895180190318,1,1,12.7621010153,1
single,lwti,27,410,diplomatic_tension,0.894914581779,7.53687434142,0.00604488183005,0.894914581779,1,1,11.3198086229,1
single,lwti,28,409,diplomatic_tension,0.894698225699,6.23089462883,0.0125540295598,0.894698225699,1,1,10.3879972664,1
single,lwti,29,408,diplomatic_tension,0.89482946896,5.02291425554,0.025014035551,0.89482946896,1,1,7.30194848958,1
single,lwti,30,407,diplomatic_tension,0.895033891723,4.53829115693,0.0331446641007,0.895033891723,1,1,6.6824297505,1
single,lwti,31,406,diplomatic_tension,0.894690706128,2.2935286039,0.129914273081,0.894690706128,1,1,3.63047911444,1
single,lwti,32,405,diplomatic_tension,0.894713138632,1.46322988988,0.226416909912,0.894713138632,1,1,2.53760594028,1
single,lwti,33,404,diplomatic_tension,0.894427099187,1.57794778001,0.20905654702,0.894427099187,1,1,1.99688175809,1
single,lwti,34,403,diplomatic_tension,0.894457033884,2.32337941362,0.127442885029,0.894457033884,1,1,2.85000903516,1
single,lwti,35,402,diplomatic_tension,0.893983437633,4.17830103376,0.0409447267989,0.893983437633,1,1,4.71248873254,1
single,lwti,36,401,diplomatic_tension,0.893369641686,2.63291988666,0.104669065885,0.893369641686,1,1,2.70220101593,1
single,lwti,37,400,diplomatic_tension,0.892238548248,0.81618673556,0.366297438969,0.892238548248,1,1,1.05958799697,1
single,lwti,38,399,diplomatic_tension,0.891936203277,1.8824561894,0.170055248209,0.891936203277,1,1,2.52778740422,1
single,lwti,39,398,diplomatic_tension,0.89190951829,2.64029935021,0.104183911482,0.89190951829,1,1,2.54013718532,1
single,lwti,40,397,diplomatic_tension,0.890662042693,2.95180056018,0.0857819354446,0.890662042693,1,1,2.49878968437,1
single,lwti,41,396,diplomatic_tension,0.89064233838,2.59196172461,0.107407231539,0.89064233838,1,1,2.29150329289,1
single,lwti,42,395,diplomatic_tension,0.889987127838,2.12894928698,0.144539804554,0.889987127838,1,1,2.20226359705,1
single,lwti,43,394,diplomatic_tension,0.889249621883,2.10724441942,0.146603097909,0.889249621883,1,1,2.69108941181,1
single,lwti,44,393,diplomatic_tension,0.888600279023,1.6021510151,0.205598646737,0.888600279023,1,1,1.57630011872,1
single,lwti,45,392,diplomatic_tension,0.888600228806,2.47181064115,0.115904337587,0.888600228806,1,1,2.38807194627,1
single,lwti,46,391,diplomatic_tension,0.888610980931,2.14826164879,0.142731414067,0.888610980931,1,1,2.10484357767,1
single,lwti,47,390,diplomatic_tension,0.888646800115,3.9543730972,0.0467497284169,0.888646800115,1,1,3.66802084186,1
single,lwti,48,389,diplomatic_tension,0.888098854277,4.69494368373,0.030251490295,0.888098854277,1,1,3.74306158752,1
single,lwti,0,432,terrorism,0.523245895272,0.0067493311438,0.934524003525,0.523245895272,1,1,0.0220824856212,1
single,lwti,1,432,terrorism,0.523245895272,0.0819823553617,0.77462874434,0.523245895272,1,1,0.548796911994,1
single,lwti,2,432,terrorism,0.523245895272,0.387112913397,0.533820894296,0.523245895272,1,1,2.74348696843,1
single,lwti,3,432,terrorism,0.523245895272,0.453050457831,0.500889889065,0.523245895272,1,1,2.81137163595,1
single,lwti,4,432,terrorism,0.523245895272,0.333731719097,0.563469935024,0.523245895272,1,1,2.51885937793,1
single,lwti,5,432,terrorism,0.523245895272,0.137896587036,0.710381108462,0.523245895272,1,1,0.698815356913,1
single,lwti,6,431,terrorism,0.522927420133,0.000832327949288,0.976984147901,0.522927420133,1,1,0.00174668380986,1
single,lwti,7,430,terrorism,0.522629931832,0.00716588262029,0.932538425924,0.522629931832,1,1,0.0107223576046,1
single,lwti,8,429,terrorism,0.521300805543,0.223700303321,0.63623482208,0.521300805543,1,1,0.439902314491,1
single,lwti,9,428,terrorism,0.518895004766,0.290678983926,0.589785749659,0.518895004766,1,1,0.765243262954,1
single,lwti,10,427,terrorism,0.51933164231,1.07215374998,0.300459470995,0.51933164231,1,1,1.85235978916,1
single,lwti,11,426,terrorism,0.520145028367,0.869017189139,0.351227535963,0.520145028367,1,1,1.22808064233,1
single,lwti,12,425,terrorism,0.519937521251,0.0793508733418,0.778179021655,0.519937521251,1,1,0.128365720682,1
single,lwti,13,424,terrorism,0.519232418315,0.556832354526,0.455539358037,0.519232418315,1,1,0.89456738244,1
single,lwti,14,423,terrorism,0.519302409148,0.998793133751,0.317602710488,0.519302409148,1,1,1.55947958975,1
single,lwti,15,422,terrorism,0.518749551725,3.23522309591,0.0720704867886,0.518749551725,1,1,3.05465754372,1
single,lwti,16,421,terrorism,0.517463528773,2.32247272369,0.127517175683,0.517463528773,1,1,2.57555147986,1
single,lwti,17,420,terrorism,0.520134117358,2.98427508598,0.0840769269205,0.520134117358,1,1,3.83847832882,1
single,lwti,18,419,terrorism,0.519437903795,3.65077676774,0.0560430681794,0.519437903795,1,1,4.7126368244,1
